city,region,latitude,longitude,accuracy.meters,year,flag,inat.person,notes,hyperlink,ID
state college,pennsylvania,40.766349,-77.859811,10,2022,,islandella,,https://www.inaturalist.org/observations/121131641,121131641
ithaca,new york,42.431946,-76.48377,10,2022,,pagophila,,https://www.inaturalist.org/observations/120378593,120378593
wilmington,delaware,39.809157,-75.600363,10,2022,,liz_inthewoods,,https://www.inaturalist.org/observations/117472235,117472235
bradner,ohio,41.318909,-83.421929,9,2022,,metalpetal,,https://www.inaturalist.org/observations/118177089,118177089
bradner,ohio,41.318909,-83.421929,9,2022,,metalpetal,,https://www.inaturalist.org/observations/118177089,118177089
mustoe,virginia,38.311725,-79.659791,9,2022,,jrsweet,,https://www.inaturalist.org/observations/118016590,118016590
peterborough,ontario,44.3038,-78.337212,9,2022,,thomas1520,,https://www.inaturalist.org/observations/119628303,119628303
peterborough,ontario,44.3038,-78.337212,9,2022,,thomas1520,,https://www.inaturalist.org/observations/119628303,119628303
tioga county,pennsylvania,41.747085,-77.425151,9,2022,,kateblack8653,,https://www.inaturalist.org/observations/120256822,120256822
ithaca,new york,42.4388,-76.40963,9,2022,,mydadguyfieri,,https://www.inaturalist.org/observations/123333717,123333717
madison,wisconsin,43.082996,-89.381063,8,2022,,john883,,https://www.inaturalist.org/observations/119000459,119000459
madison,wisconsin,43.082996,-89.381063,8,2022,,john883,,https://www.inaturalist.org/observations/119000459,119000459
london,ontario,42.982189,-81.260035,8,2022,,sksakal,,https://www.inaturalist.org/observations/119141717,119141717
toronto,ontario,43.647839,-79.521746,8,2022,,danieljunderdown,,https://www.inaturalist.org/observations/118861201,118861201
toronto,ontario,43.647839,-79.521746,8,2022,,danieljunderdown,,https://www.inaturalist.org/observations/118861201,118861201
toronto,ontario,43.655656,-79.432177,8,2022,,amy9,,https://www.inaturalist.org/observations/118712628,118712628
toronto,ontario,43.655656,-79.432177,8,2022,,amy9,,https://www.inaturalist.org/observations/118712628,118712628
boalsburg,pennsylvania,40.775097,-77.792038,8,2022,,ecrisfield,,https://www.inaturalist.org/observations/118074088,118074088
boalsburg,pennsylvania,40.775097,-77.792038,8,2022,,ecrisfield,,https://www.inaturalist.org/observations/118074088,118074088
tweed,ontario,44.479277,-77.303334,8,2022,,jasonjdking,,https://www.inaturalist.org/observations/119322842,119322842
kingston,ontario,44.251594,-76.480498,8,2022,,jungmaria,,https://www.inaturalist.org/observations/118807764,118807764
shrewsbury,massachusetts,42.296977,-71.705831,8,2022,,nellio,,https://www.inaturalist.org/observations/122813907,122813907
amesbury,massachusetts,42.848765,-70.920183,8,2022,y,newenglandjonny,,https://www.inaturalist.org/observations/120500440,120500440
peterborough,ontario,44.282652,-78.342771,7,2022,,rsety,,https://www.inaturalist.org/observations/119737867,119737867
peterborough,ontario,44.282652,-78.342771,7,2022,,rsety,,https://www.inaturalist.org/observations/119737867,119737867
hastings,ontario,44.375965,-77.452508,7,2022,,jungmaria,,https://www.inaturalist.org/observations/119134482,119134482
